Unit;EX40 (XC40 BEV);EC40 (C40 BEV);EX30;EX90;EM90;XC60;XC40 PHEV/ICE;XC90;S90;V60/V60;S60/S60;V90/V90;V40/V40;Total
Q1 2020;;;;;36930;34268;18327;7155;17708;9154;6564;1783;;131889
Q2 2020;;;;;41831;34091;19591;11300;13565;11304;5822;569;;138073
Q3 2020;;;;;52330;53546;23409;13083;16829;14449;6865;655;;181166
Q4 2020;4659;;;;;60605;58842;31131;14489;16810;17344;6318;387;210585
Q1 2021;3615;;;;;52702;53931;24265;12044;18167;14060;6890;24;185698
Q2 2021;6395;;;;;60798;54180;29912;13609;13058;12299;4806;2;195059
Q3 2021;5414;;;;;49097;33385;26225;10640;11212;9765;4152;2;149892
Q4 2021;9107;1196;;;;53039;35010;27829;10275;13602;13120;4866;0;168044
Q1 2022;8076;3645;;;;44874;34405;21966;9489;9201;12173;4464;2;148295
Q2 2022;6558;3941;;;;48344;29609;26947;8336;7487;8161;3623;0;143006
Q3 2022;6470;3679;;;;48043;28433;22822;11462;5121;8686;2969;1;137686
Q4 2022;21432;12948;;;;54077;34223;25395;13623;10268;10484;3684;0;186134
Q1 2023;21091;8978;;;;50209;28938;24386;10362;7691;8131;3152;0;162938
Q2 2023;17888;11303;;;;55763;31618;27132;12717;8605;9745;3982;0;178753
Q3 2023;14474;6895;;;;54978;32368;25489;13498;5880;10848;3037;0;167467
Q4 2023;22213;9938;639;;;67696;32080;30542;12706;8262;11429;4053;0;199558
Q1 2024;17352;6049;14544;;226;56439;29026;26292;10750;8753;10944;2312;0;182687
Q2 2024;13709;4862;33278;;740;59271;31265;26909;11045;9977;11997;2333;0;205386
Q3 2024;10749;4460;27157;125;300;48396;27667;23984;9102;7471;11109;2329;0;172849
Q4 2024;11597;5009;23086;1681;270;66747;32525;31436;9313;7937;9901;2965;0;202467
